request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This keeps at least IDR 24768300 available over the next 90 days.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This keeps at least ZAR 20500 available over the next 90 days.
request_28,231.02,not_affordable,not_recommended,none,2024-08-18,none,"Do not proceed with the EUR 1302.40 request. Although EUR 231.02 is available today, the full amount cannot be completed safely within 90 days."
request_29,794.49,not_affordable,not_recommended,none,,none,Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28300 minimum protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This keeps at least USD 900 available."
request_31,2737619.38,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,Pay IDR 18164000 in full on 14 September 2024. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35700 minimum protected.
request_33,42669.19,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This keeps at least INR 138500 available over the next 90 days.
request_35,23533.71,not_affordable,not_recommended,none,2026-01-16,none,"Do not proceed with the INR 212000 request. Although INR 23533.71 is available today, the full amount cannot be completed safely within 90 days."
request_36,593.12,affordable_later,wait,2026-09-13:3954,2026-09-13,none,Pay USD 3954 in full on 13 September 2026. Paying earlier would take the balance below the USD 2400 minimum.
request_37,2520784.32,not_affordable,not_recommended,none,,none,Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17056200 minimum protected.
request_38,232.94,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,Pay EUR 971.30 in full on 13 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2026. None of the available options keeps the INR 213400 minimum protected.
request_40,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1500 minimum protected.
request_41,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the IDR 25366600 minimum protected.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This keeps at least INR 113100 available over the next 90 days.
request_43,9596345.35,affordable_later,wait,2024-11-14:43339000,2024-11-14,none,Pay IDR 43339000 in full on 14 November 2024. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. None of the available options keeps the INR 82900 minimum protected.
request_45,3286072.06,not_affordable,not_recommended,none,,none,Do not make this payment by 15 September 2026. None of the available options keeps the IDR 11149800 minimum protected.
request_46,35136.86,affordable_with_plan,partial_payment,2024-12-03:35136.86|2024-12-15:14313.14,2024-12-15,none,Pay INR 35136.86 today and the remaining INR 14313.14 on 15 December 2024. This completes the full request and keeps the INR 84000 minimum protected.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This keeps at least IDR 30049000 available over the next 90 days.
request_48,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 August 2026. None of the available options keeps the INR 71300 minimum protected.
request_49,11154719.87,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-17,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. This keeps at least IDR 20275700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This keeps at least INR 99700 available over the next 90 days.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This keeps at least IDR 7811000 available over the next 90 days.
request_52,23827.13,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41500 minimum.
request_53,552.03,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This keeps at least USD 2100 available."
request_54,1883.7,not_affordable,not_recommended,none,,none,Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37000 minimum protected.
request_55,130099.94,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-14,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. This keeps at least INR 124300 available."
request_56,636.42,affordable_with_plan,partial_payment,2025-02-03:636.42|2025-02-14:245.14,2025-02-14,none,Pay USD 636.42 today and the remaining USD 245.14 on 14 February 2025. This completes the full request and keeps the USD 2100 minimum protected.
request_57,12944.36,affordable_later,wait,2026-06-13:61446,2026-06-13,none,Pay ZAR 61446 in full on 13 June 2026. Paying earlier would take the balance below the ZAR 42700 minimum.
request_58,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 January 2025. None of the available options keeps the IDR 14433900 minimum protected.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. This keeps at least INR 132600 available."
request_60,34.41,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2026. None of the available options keeps the USD 400 minimum protected.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This keeps at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This keeps at least USD 1300 available over the next 90 days.
request_63,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 September 2026. None of the available options keeps the INR 153500 minimum protected.
request_64,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 August 2024. None of the available options keeps the INR 36100 minimum protected.
request_65,7011.51,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This keeps at least INR 80700 available over the next 90 days.
request_67,307.47,affordable_later,wait,2024-09-14:2094,2024-09-14,none,Pay USD 2094 in full on 14 September 2024. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1438.15,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-16,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This keeps at least USD 1500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This keeps at least EUR 700 available over the next 90 days.
request_70,50516.32,not_affordable,not_recommended,none,2025-02-16,none,"Do not proceed with the INR 243900 request. Although INR 50516.32 is available today, the full amount cannot be completed safely within 90 days."
request_71,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8884800 minimum protected.
request_72,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2026. None of the available options keeps the ZAR 12200 minimum protected.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This keeps at least INR 103200 available over the next 90 days.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This keeps at least ZAR 21900 available over the next 90 days.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 9 April 2026. This keeps at least ZAR 39000 available."
request_76,976.8,not_affordable,not_recommended,none,2024-06-20,none,"Do not proceed with the USD 4455.60 request. Although USD 976.80 is available today, the full amount cannot be completed safely within 90 days."
